name,address,lat,lon
Locomotivas Bar,"R. Carmésia, 568 , Santa Inês, Belo Horizonte - MG, 31080-170",-19.8815093,-43.9090525
Magnífico Quintal,"R. Doutor Jefferson de Oliveira, 56 , Santa Amélia, Belo Horizonte - MG, 31560-230",-19.8421348,-43.9759104
Magrelo’s bar,"Av. Serrana, 635 , Belo Horizonte - MG, 31360-270",-19.8728577,-44.0135935
Mamute Bar,"R. Brás Cubas, 116 , Cruzeiro, Belo Horizonte - MG, 30310-220",-19.9453396,-43.9286133
Mineiros Beer,"R. Romualdo Lopes Cançado, 399 , Castelo, Belo Horizonte - MG, 30840-460",-19.8881972,-43.996875
Mulão,"R. Marambaia, 291 , Caiçara, Belo Horizonte - MG, 30770-070",-19.9090992,-43.9683517
Nosso Spetim,"Rua dos Astecas, 3219 , Santa Mônica, Belo Horizonte - MG, 31530-300",-19.8316642,-43.976161
NUBAR,"Avenida dos Engenheiros, 843 , Belo Horizonte - MG, 30840-300",-19.8902904,-44.0007213
O Fino do Alho,"R. Capitão Sérgio Pires, 41 , Minascaixa, Belo Horizonte - MG, 31615-640",-19.8066128,-43.9563356
Oratório Bar,"Av. Brasil, 161 , Santa Efigênia, Belo Horizonte - MG, 30140-000",-19.9236026,-43.9206982
Parada 10.95 Bar,"Avenida dos Engenheiros, 1095 , Alípio de Melo, Belo Horizonte - MG, 30840-300",-19.8913511,-43.9992316
Parada do Sabor,"Av. General Carlos Guedes, 346 , Planalto, Belo Horizonte - MG, 31720-500",-19.8383061,-43.9488874
Pé de Cana,"R. Flórida, 15 , Belo Horizonte - MG, 30310-710",-19.9489897,-43.9322579
Pé de Goiaba,"Av. Amazonas, 4676  , Nova Suíça, Belo Horizonte - MG, 30421-026",-19.929796,-43.9739695
Planeta Lúpulo,"Av. Guarapari, 108 , Santa Amélia, Belo Horizonte - MG, 31560-300",-19.8341323,-43.9740179
PoiZé Bar e Petisqueira,"R. Pium-I, 686  , Cruzeiro, Belo Horizonte - MG, 30310-080",-19.9426434,-43.9299187
Prado Beer,"Av. Francisco Sá, 590 , Prado, Belo Horizonte - MG, 30441-018",-19.9256238,-43.9594321
Queremos Frango,"Avenida Joaquim Clemente, 730 ,  Belo Horizonte - MG, 31840-340",-19.8396478,-43.9332774
Quintal do Louzada,"Rua Gávea, 358  , Belo Horizonte - MG, 30421-340",-19.9388489,-43.9752421
Quioxque Botequim Carioca,"Rua Henrique Badaró Portugal, 157 , Buritis, Belo Horizonte - MG, 30575-232",-19.9724056,-43.9758798
Quitandas da Tia Nice Bar,"R. Alabastro, 146  , Horto, Belo Horizonte - MG, 31030-080",-19.9121372,-43.9210181
Recanto da Traíra,"Rua Alberto Cintra, 47  , Belo Horizonte - MG, 31160-370",-19.8845104,-43.9292189
Reforma Bar,"Rua Joaquim Nabuco, 577  , Belo Horizonte - MG, 30421-260",-19.9354463,-43.9772205
Rei da Picanha,"Avenida Sebastião de Brito, 400  , Belo Horizonte - MG, 31260-000",-19.8614898,-43.9437183
Rei do Peixe,"R. Ramalho Ortigão, 735 , Santa Branca, Belo Horizonte - MG, 31565-100",-19.8307182,-43.9654983
Resenha da Naty,"R. Gonçalves Lêdo, 288 , Cachoeirinha, Belo Horizonte - MG, 31130-290",-19.8892256,-43.946499
S.O.S Pub,"Avenida Padre José Maurício, 1126 , Vista Alegre, Belo Horizonte - MG, 30514-000",-19.9520894,-43.9926409
Sant’Esquina Butiquim,"Rua Ramalho Ortigão, 650  ,Belo Horizonte - MG, 31565-100",-19.8307182,-43.9654983
Santa Boemia,"R. Mármore, 534 , Santa Teresa, Belo Horizonte - MG, 31010-220",,
Santuário Retrô,"Av. Padre Vieira, 150 , Minas Brasil, Belo Horizonte - MG, 30730-240",-19.9160217,-43.9899947
Seu Justino,"Rua Dona Conceição Martins, 63 , Belo Horizonte - MG, 31680-010",-19.8022926,-43.9995124
Sô Bar,"Av. Altamiro Avelino Soares, 426 , Castelo, Belo Horizonte - MG, 31330-000",-19.8842816,-43.9967121
Spetim,"R. Ilacir Pereira Lima, 518 , Silveira, Belo Horizonte - MG, 31140-540",-19.8918598,-43.929371
Sunset Bar,"R. Érico Veríssimo, 2039 , Belo Horizonte - MG, 31998-270",-19.8344409,-43.8686921
Tanganica Art Bar,"R. Padre Demerval Gomes, 380 , Coração Eucarístico, Belo Horizonte - MG, 30535-470",-19.9254737,-43.9917045
Toca do Ogro,"R. Professor Nelson de Sena, 4 , Pampulha, Belo Horizonte - MG, 31270-660",-19.8543191,-43.9568613
Toninho – Alto Forno,"R. Miracema, 100 , Santo André, Belo Horizonte - MG, 31230-660",-19.8999841,-43.9522977
Us Motoca,"R. Blenda, 91 , Camargos, Belo Horizonte - MG, 30520-170",-19.9407705,-44.0148074
Via Deslandes,"Rua Francisco Deslandes, 10  , Belo Horizonte - MG, 30310-530",-19.9503283,-43.9286988
Xambar,"Av. Augusto de Lima, 233 - Edifício Maleta  , Centro, Belo Horizonte - MG, 30160-906",,
Zé Bolacha,"Rua das Melancias, 35 , Vila Clóris, Belo Horizonte - MG, 31744-063",-19.8211972,-43.9515485
Zoo Bar,"Av. Otacílio Negrão de Lima, 7844 , Pampulha, Belo Horizonte - MG, 31365-450",-19.8545889,-44.0040585
